ลำดับ	ชนิดข้อความ	ตำแหน่งในไฟล์	เลขข้อจาก TOR	ข้อความ TOR ต้นฉบับ	หมวด/Module	Frappe/ERPNext Coverage	สิ่งที่มีใน Standard	สิ่งที่ต้องทำเพิ่ม / Customization	Gap/Risk	Priority	Effort	หลักฐาน/Reference	หมายเหตุจาก Fit-Gap	ช่องให้เติมเอง
170	Paragraph	181	4.3.9(3)	(3) สามารถจัดทำบัญชี และปิดงบการเงินได้เป็นรายหน่วยปฏิบัติ	General Ledger	จัดทำบัญชีและปิดงบรายหน่วยปฏิบัติ	มีบางส่วน	มี Chart of Accounts, Journal Entry, GL, Trial Balance, financial statements และ period closing	ต้องจัดผังบัญชีภาครัฐ รูปแบบงบ/รายงาน และ GFMIS integration/export	Medium	P1	M-L	https://docs.frappe.io/erpnext/general-ledger; https://docs.frappe.io/erpnext/accounting-reports	
171	Paragraph	182	4.3.9(4)	(4) สามารถเชื่อมโยงผังบัญชี และจัดทำข้อมูลทางบัญชีเสนอหน่วยงานภายนอก เช่น กรมบัญชีกลาง (GFMIS)	General Ledger	เชื่อมผังบัญชี/จัดทำข้อมูลเสนอหน่วยงานภายนอก เช่น GFMIS	ต้องทำเพิ่ม	มี Chart of Accounts, Journal Entry, GL, Trial Balance, financial statements และ period closing	ต้องจัดผังบัญชีภาครัฐ รูปแบบงบ/รายงาน และ GFMIS integration/export	High	P1	M-L	https://docs.frappe.io/erpnext/general-ledger; https://docs.frappe.io/erpnext/accounting-reports	
172	Paragraph	183	4.3.9(5)	(5) สามารถกำหนดรอบระยะเวลาบัญชี ให้เป็นไปตามความต้องการได้ และสามารถเปิด-ปิดรอบระยะเวลาบัญชีได้	General Ledger	กำหนดรอบบัญชีและเปิด-ปิดรอบ	มี	มี Chart of Accounts, Journal Entry, GL, Trial Balance, financial statements และ period closing	ต้องจัดผังบัญชีภาครัฐ รูปแบบงบ/รายงาน และ GFMIS integration/export	Medium	P1	M-L	https://docs.frappe.io/erpnext/general-ledger; https://docs.frappe.io/erpnext/accounting-reports	
173	Paragraph	184	4.3.9(6)	(6) แสดงข้อมูลและจัดทำรายงานต่าง ๆ เช่น รายงานสมุดรายวัน รายงานงบทดลองรายงานบัญชีแยกประเภท งบแสดงฐานะการเงิน งบแสดงผลการดำเนินงานทางการเงิน ทั้งนี้ยังสามารถกำหนดรูปแบบการนำข้อมูลออก (Export) ในรูปแบบของไฟล์ PDF, Excel, Word ได้เป็นอย่างน้อย	General Ledger	รายงาน journal, trial balance, GL, งบฐานะ, งบผลดำเนินงาน export	มีบางส่วน	มี Chart of Accounts, Journal Entry, GL, Trial Balance, financial statements และ period closing	ต้องจัดผังบัญชีภาครัฐ รูปแบบงบ/รายงาน และ GFMIS integration/export	Medium	P1	M-L	https://docs.frappe.io/erpnext/general-ledger; https://docs.frappe.io/erpnext/accounting-reports	
174	Paragraph	186	4.3.10	4.3.10 ระบบการรายงานสำหรับผู้บริหาร (Dashboard) เป็นระบบที่แสดงข้อมูลทางด้านผลการปฏิบัติงาน งบประมาณ บัญชี การเงิน และพัสดุในรูปแบบ Dashboard ได้แบบ Real time และสามารถแสดงข้อมูลแบบออนไลน์ผ่าน Web Browser และ Mobile	Dashboard	Dashboard ผลปฏิบัติงาน งบประมาณ บัญชี การเงิน พัสดุ realtime ผ่าน Web/Mobile	มีบางส่วน	มี dashboards/reports และข้อมูลรวมในระบบเดียว	ต้องออกแบบ KPI/visualization ตามผู้บริหาร และปรับ mobile UX	Medium	P2	M		
175	Paragraph	188	4.4	4.4 การฝึกอบรม	Training	ฝึกอบรมและคู่มือ PDF	ต้องทำเพิ่ม	มี product docs เป็นฐาน	ต้องทำคู่มือไทยเฉพาะ flow และอบรม onsite/online	Low	P1	M		
176	Paragraph	189	4.4.1	4.4.1 ผู้ขายต้องจัดให้มีการฝึกอบรมการใช้งานระบบบริหารจัดการทรัพยากรองค์กร (Enterprise Resource Planning : ERP) ตามรายละเอียดคุณลักษณะเฉพาะ ข้อ 4.3 ให้กับเจ้าหน้าที่ ณ สถานที่ตาม ที่ สกมช. กำหนด										
177	Paragraph	190	4.4.2	4.4.2 ผู้ขายต้องจัดให้มีสิ่งอำนวยความสะดวกในการฝึกอบรม ตามความเหมาะสมโดยผู้ขาย เป็นผู้รับผิดชอบค่าใช่จ่ายในการฝึกอบรม										
178	Paragraph	191	4.4.3	4.4.3 ผู้ขายต้องจัดทำคู่มือการฝึกอบรมการใช้งานระบบบริหารจัดการทรัพยากรองค์กร (Enterprise Resource Planning : ERP) เป็นไฟล์ PDF ให้กับผู้เข้ารับการฝึกอบรม										
179	Paragraph	193	5	5. การติดตั้งและทดสอบระบบ	Deployment/Test	ติดตั้งและทดสอบระบบให้สมบูรณ์	ต้องทำเพิ่ม	รองรับ deployment/self-host/cloud	ต้องทำ deployment plan, test plan, backup/restore, performance test	Medium	P1	M-L		
180	Paragraph	194	5.1	5.1 เมื่อการทดสอบการทำงานของระบบร่วมกันระหว่างผู้ขายและผู้ซื้อระบบ เป็นที่เรียบร้อยแล้ว ผู้ขายจะต้องติดตั้งระบบที่ปรับปรุงแก้ไข พร้อมทดสอบการทำงานของระบบให้สามารถทำงานได้อย่างสมบูรณ์ตามวัตถุประสงค์ของโครงการ										
181	Paragraph	195	5.2	5.2 ระหว่างที่ทำการทดสอบระบบในทุกกรณี หากอุปกรณ์ใดของสำนักงาน หรือหน่วยงานที่เกี่ยวข้องได้รับความเสียหายระหว่างการทดสอบ และส่งผลให้เกิดข้อบกพร่องของระบบคอมพิวเตอร์ โดยความเสียหายที่เกิดขึ้นระหว่างการทดสอบนั้นเกิดจากความบกพร่องของบุคลากรของผู้ซื้อ ผู้ขายจะต้องรับผิดชอบต่อความเสียหายที่เกิดขึ้น โดยไม่คิดค่าใช้จ่ายใด ๆ จากสำนักงาน										
182	Paragraph	196	8	8. ระยะเวลาดำเนินการ	Timeline	ดำเนินการให้แล้วเสร็จภายใน 60 วัน	ความเสี่ยงสูง	Product ใช้เป็นฐานได้	scope custom ภาครัฐเยอะ 60 วันเสี่ยงมาก ต้อง phase scope	High	P1	XL		ข้อเสนอควรแบ่ง Phase 1 core + Phase 2 government custom
183	Paragraph	197		ระยะเวลาการดำเนินงานให้แล้วเสร็จภายใน 60 วัน นับถัดจากวันลงนามในสัญญา										
184	Paragraph	198	9	9. การส่งมอบงาน										
185	Paragraph	199		กำหนดการส่งมอบงานตามรายละเอียดคุณลักษณะเฉพาะและจ่ายเงิน ดังนี้										
186	Paragraph	201	10	10. เงื่อนไขการชำระเงิน										
187	Paragraph	202		สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ จะชำระเงินตามจำนวน ในสัญญาภายหลังจากผู้ยื่นข้อเสนอได้ปฏิบัติงาน มอบเป็นเอกสารจำนวน 2 ชุด พร้อมไฟล์อิเล็กทรอนิกส์ ในรูปแบบที่ปรับแก้ไขได้ (.docx) และปรับแก้ไขไม่ได้ (.pdf) พร้อมบันทึกลงใน USB Flash Drive หรือสื่อแบบถอดได้อื่น ๆ (Removable) จำนวน 2 ชุด รวมถึงใบแจ้งค่าใช้จ่ายพร้อมเอกสารหลักฐานต่าง ๆ ที่เกี่ยวข้องครบถ้วน และผ่านการตรวจรับพัสดุจากคณะกรรมการตรวจรับพัสดุเรียบร้อยแล้ว สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ ตกลงชำระค่าพัสดุให้แก่ผู้ยื่นข้อเสนอ เป็นเช็คขีดคร่อมหรือการโอนเงินทางอิเล็กทรอนิกส์ โดยสำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ จะหักภาษี ค่าธรรมเนียมธนาคารและค่าธรรมเนียมอื่น ๆ ที่เกี่ยวข้องจากมูลค่า ของค่าพัสดุ ซึ่งผู้ยื่นข้อเสนอจะต้องชำระไว้ตามกฎหมายด้วย โดยผู้ซื้อจะชำระเงินเต็มจำนวนร้อยละ 100 เมื่อผู้ขายได้ส่งมอบพัสดุ ตามทีกำหนดไว้ครบถ้วน และคณะกรรมการตรวจรับพัสดุ ได้ทำการตรวจรับพัสดุ ไว้เรียบร้อยแล้ว										
188	Paragraph	203	11	11. เอกสารการยื่นข้อเสนอ										
189	Paragraph	204		ผู้ยื่นข้อเสนอต้องเสนอเอกสารหลักฐาน แยกเป็น 2 ส่วน คือ										
190	Paragraph	205	11.1	11.1 ส่วนที่ 1 อย่างน้อยต้องมีเอกสารดังต่อไปนี้										
191	Paragraph	206	11.1.1	11.1.1 ในกรณีผู้ยื่นข้อเสนอเป็นนิติบุคคล										
192	Paragraph	207	11.1.1(1)	(1) ห้างหุ้นส่วนสามัญหรือห้างหุ้นส่วนจำกัด ให้ยื่นสำเนาหนังสือรับรองการจดทะเบียน นิติบุคคล บัญชีรายชื่อหุ้นส่วนผู้จัดการ ผู้มีอำนาจควบคุม (ถ้ามี)										
193	Paragraph	208	11.1.1(2)	(2) บริษัทจำกัดหรือบริษัทมหาชนจำกัด ให้ยื่นสำเนาหนังสือรับรองการจดทะเบียนนิติบุคคล หนังสือบริคณห์สนธิ บัญชีรายชื่อกรรมการผู้จัดการ ผู้มีอำนาจควบคุม (ถ้ามี) และบัญชีผู้ถือหุ้นรายใหญ่ (ถ้ามี)										
194	Paragraph	209	11.1.2	11.1.2 ในกรณีผู้ยื่นข้อเสนอเป็นบุคคลธรรมดาหรือคณะบุคคลที่มิใช่นิติบุคคลให้ยื่นสำเนาบัตรประจำตัวประชาชนของผู้นั้น สำเนาข้อตกลงที่แสดงถึงการเข้าเป็นหุ้นส่วน (ถ้ามี) สำเนาบัตรประจำตัวประชาชนของผู้เป็นหุ้นส่วน หรือสำเนาหนังสือเดินทางของผู้เป็นหุ้นส่วนที่มิได้ถือสัญชาติไทย										
195	Paragraph	210	11.1.3	11.1.3 ในกรณีผู้ยื่นข้อเสนอเป็นผู้ยื่นข้อเสนอร่วมกันในฐานะเป็นผู้ร่วมค้า ให้ยื่นสำเนาสัญญา ของการเข้าร่วมค้าตามข้อ 3.11										
196	Paragraph	211	11.1.4	11.1.4 เอกสารเพิ่มเติมอื่น ๆ										
197	Paragraph	212	11.1.4(1)	(1) สำเนาใบทะเบียนพาณิชย์										
198	Paragraph	213	11.1.4(2)	(2) สำเนาใบทะเบียนภาษีมูลค่าเพิ่ม ภ.พ. 20										
199	Paragraph	214	11.2	11.2 ส่วนที่ 2 อย่างน้อยต้องมีเอกสารดังต่อไปนี้										
200	Paragraph	215	11.2.1	11.2.1 ในกรณีที่ผู้ยื่นข้อเสนอมอบอำนาจให้บุคคลอื่นกระทำการแทน ให้แนบหนังสือมอบอำนาจ ซึ่งติดอากรแสตมป์ตามกฎหมาย โดยมีหลักฐานแสดงตัวตนของผู้มอบอำนาจและผู้รับมอบอำนาจ ทั้งนี้ หากผู้รับมอบอาจเป็นบุคคลธรรมดาต้องเป็นผู้บรรลุนิติภาวะตามกฎหมายแล้วเท่านั้น										
201	Paragraph	216	11.2.2	11.2.2 เอกสารเพิ่มเติมอื่น ๆ										
202	Paragraph	217	11.2.2(1)	(1) หนังสือรับรอง ตามข้อ 3.12 และ 3.13										
203	Paragraph	218	11.2.2(2)	(๒) เอกสารแสดงมูลค่าสุทธิของกิจการ ตามรายละเอียดคุณลักษณะเฉพาะข้อ 3.14										
204	Paragraph	219	11.2.2(3)	(๓) ตารางเปรียบเทียบรายละเอียดคุณลักษณะเฉพาะตามที่ สกมช. กำหนด ในข้อ 4 กับรายละเอียดคุณลักษณะเฉพาะที่ผู้ยื่นข้อเสนอได้จัดทำ										
205	Paragraph	220	12	12. การรับประกันและการบำรุงรักษา	Warranty/SLA	รับประกัน/บำรุงรักษา 1 ปี SLA 24/48 ชั่วโมง	ต้องทำเพิ่ม	เป็นบริการ support	ต้องทำ SLA, ticketing, maintenance plan	Medium	P1	M		
206	Paragraph	221		ผู้ขายจะต้องรับประกันผลงานที่ส่งมอบให้แก่ผู้ซื้อเป็นระยะเวลาอย่างน้อย 1 ปี นับถัดจากวันที่คณะกรรมการตรวจรับพัสดุลงนามเห็นชอบและตรวจรับพัสดุ และจะต้องรับผิดชอบค่าใช้จ่ายในการบำรุงรักษาเป็นระยะเวลา 1 ปี โดยผู้ขายจะต้องจัดให้มีเจ้าหน้าที่สำหรับรับผิดชอบดูแลและบำรุงรักษาระบบ ERP พร้อมทั้งดำเนินการแก้ไขระบบ ERP ให้แล้วเสร็จตามกรณีดังต่อไปนี้										
207	Paragraph	222	12.1	1๒.1 ระบบ ERP เกิดปัญหาหรือเหตุขัดข้องในกรณีเร่งด่วน ซึ่งส่งผลกระทบต่อการดำเนินงานขององค์กรอย่างร้ายแรง หรือส่งผลให้การดำเนินงานขององค์กรหยุดชะงัก ผู้ขายจะต้องจัดให้มีเจ้าหน้าที่สำหรับดำเนินการแก้ไขปัญหาให้แล้วเสร็จภายใน 24 ชั่วโมง										
208	Paragraph	223	12.2	1๒.2 ระบบ ERP เกิดปัญหาทั่วไป หรือเหตุขัดข้องที่ไม่ส่งผลกระทบร้ายแรงต่อการดำเนินงานขององค์กร ผู้ขายจะต้องจัดให้มีเจ้าหน้าที่สำหรับดำเนินการแก้ไขปัญหาให้แล้วเสร็จภายใน ๔๘ ชั่วโมง										
209	Paragraph	224	12.3	1๒.3 ผู้ขาย ต้องนำเสนอค่าบำรุงรักษา และดูแลหลังสิ้นสุดการปรับประกัน 1 ปี										
210	Paragraph	225	12.4	1๒.4 หากมีการปรับปรุงกฎหมาย และระเบียบจากภาครัฐ ผู้ขายจะต้องดำเนินการปรับปรุงระบบ ERP ให้เป็นไปตามกฎหมายและระเบียบให้เป็นปัจจุบันทันที โดยไม่มีค่าใช้จ่ายใด ๆ เพิ่มเติม										
211	Paragraph	226	12.5	12.5 กรณีที่ผู้ขายไม่สามารถดำเนินการได้ตามเงื่อนไข การรับประกันผลงานและการบำรุงรักษา ผู้ขายจะต้องชำระค่าปรับเป็นรายวันในอัตราร้อยละ 0.1 ของมูลค่าของระบบที่ยังไม่สามารถใช้งานได้ แต่ต้องไม่ต่ำกว่าวันละ 100 บาท จนกว่าระบบจะสามารถใช้งานได้ตามปกติโดยเศษของวันจะถือเป็นหนึ่งวันเต็ม										
212	Paragraph	227	13	13. เงื่อนไขการปรับ										
213	Paragraph	228		หากผู้ขายไม่สามารถดำเนินการแล้วเสร็จตามระยะเวลาที่ผู้ซื้อได้กำหนดไว้และผู้ซื้อยังมิได้บอกเลิกสัญญา ผู้ขายจะต้องชำระค่าปรับเป็นรายวันให้แก่ผู้ซื้อในอัตราร้อยละ 0.2 ของราคาพัสดุที่ยังไม่ได้รับมอบ นับถัดจากวันที่กำหนดแล้วเสร็จตามสัญญา หรือวันที่ผู้ซื้อได้ขยายระยะเวลาให้จนถึงวันที่ทำงานแล้วเสร็จทั้งหมด										
214	Paragraph	229	14	14. วงเงินในการจัดหา										
215	Paragraph	230		วงเงินงบประมาณโครงการ 4,500,000 บาท (สี่ล้านห้าแสนบาทถ้วน) ซึ่งเป็นวงเงินที่รวมภาษีมูลค่าเพิ่มตลอดจนภาษีอากรอื่น และค่าใช้จ่ายทั้งปวงด้วยแล้ว										
216	Paragraph	231	15	15. การรักษาความลับ										
217	Paragraph	232	15.1	๑5.๑ ผู้เสนอราคาจะต้องจัดเก็บรักษาข้อมูลต่าง ๆ ที่เกี่ยวกับการดำเนินงานที่ผู้เสนอราคาได้รับจาก สกมช. และข้อมูลต่าง ๆ ที่ผู้เสนอราคาได้จัดทำขึ้นเนื่องจากการดำเนินงานตามสัญญานี้อย่างเป็นความลับของ สกมช. ซึ่งต่อไปใน สัญญานี้เรียกว่า “ข้อมูลที่เป็นความลับ” โดยผู้เสนอราคาต้องหามาตรการในการจัดเก็บข้อมูลที่เป็นความลับให้มิดชิด รวมทั้งไม่เปิดเผย หรือเผยแพร่ หรือกระทำด้วยวิธีการใดให้บุคคลอื่นใดที่มิใช่คู่สัญญาภายใต้สัญญานี้ หรือมิใช่บุคคลที่ สกมช. ได้อนุญาตเป็นลายลักษณ์อักษรให้มีส่วนเกี่ยวข้อง ที่จะรับทราบข้อมูลที่เป็นความลับภายใต้สัญญานี้ ได้ทราบถึงข้อมูลที่เป็นความลับดังกล่าว เว้นแต่จะเป็นการเปิดเผยข้อมูลดังกล่าวให้แก่เจ้าหน้าที่ผู้ปฏิบัติงานของผู้เสนอราคาที่ต้องเกี่ยวข้องโดยตรงกับข้อมูลดังกล่าวเท่านั้น และผู้เสนอราคาจะต้องจัดให้เจ้าหน้าที่ผู้ปฏิบัติงานดังกล่าวได้ผูกพันและปฏิบัติตามเงื่อนไขในการรักษาข้อมูลที่เป็นความลับเช่นว่านั้นด้วย										
218	Paragraph	233	15.2	๑5.๒ หากผู้เสนอราคามิได้ปฏิบัติตามข้อ ๑1.๑ ผู้เสนอราคาจะต้องรับผิดชอบต่อ สกมช. หรือบุคคลอื่นที่เป็นเจ้าของข้อมูลที่เป็นความลับนั้นในความเสียหายใด ๆ ที่เกิดขึ้นเนื่องจากการที่ข้อมูลที่เป็นความลับดังกล่าว ได้ถูกเปิดเผยไม่ว่าทั้งหมดหรือแต่บางส่วน และ สกมช. มีสิทธิบอกเลิกสัญญาได้ทันที										
219	Paragraph	234	15.3	๑5.๓ ผู้เสนอราคาจะยังคงต้องผูกพันตามข้อกำหนดเกี่ยวกับการรักษาข้อมูลที่เป็นความลับตามข้อ ๑1.๑ ต่อไป ตราบที่ข้อมูลที่เป็นความลับดังกล่าวยังคงเป็นความลับอยู่ แม้ว่าการจ้างตามสัญญานี้ได้สิ้นสุดลงแล้ว ไม่ว่าด้วยเหตุใดก็ตาม										
220	Paragraph	239	16	16. ลิขสิทธิ์การใช้งาน										
221	Paragraph	240	16.1	16.1 ซอฟต์แวร์ต่าง ๆ ที่นำมาใช้งาน จะต้องมีลิขสิทธิ์การใช้งานถูกต้องตามกฎหมาย เมื่อดำเนินการตามขอบเขตงานข้างต้นแล้วเสร็จ										
222	Paragraph	241	16.2	16.2 กรณีเสนอระบบบริหารจัดการทรัพยากรองค์กร (Enterprise Resource Planning : ERP) เป็นซอฟต์แวร์สำเร็จรูปต้องมีลิขสิทธิ์การใช้งานแบบซื้อขาด (Perpetual Licenses) จำนวนไม่เกิน 125 ผู้ใช้งาน	Licensing	ซอฟต์แวร์สำเร็จรูป perpetual ไม่เกิน 125 users	ต้องยืนยัน model	ERPNext/Frappe open-source self-host ลดปัญหา per-user license ได้	ต้องยืนยัน license/package/hosting/support ที่เสนอ และเงื่อนไข source code	Medium	P1	M	https://github.com/frappe/erpnext	
223	Paragraph	242	16.3	16.3 กรณีเสนอเป็นการพัฒนาระบบบริหารจัดการทรัพยากรองค์กร (Enterprise Resource Planning : ERP) ต้องมีลิขสิทธิ์ในซอฟต์แวร์แบบไม่จำกัดผู้ใช้งาน และหน่วยงานมีลิขสิทธิ์ในการใช้ Source Code ในการดำเนินการใด ๆ ในกิจการของหน่วยงานได้	Source Code	กรณีพัฒนา ERP ต้องไม่จำกัดผู้ใช้และหน่วยงานใช้ source code ได้	มีข้อได้เปรียบ	Frappe/ERPNext เป็น open-source และ custom app สามารถส่งมอบ source ได้	ต้องกำหนด ownership custom code และ deployment repository	Low-Medium	P1	M	https://github.com/frappe/frappe; https://github.com/frappe/erpnext	
224	Paragraph	244	17	17. หน่วยงานที่รับผิดชอบ										
225	Paragraph	245		สำนักการเงินและกลยุทธ์องค์กร สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ										
226	Paragraph	247	18	18. สถานที่ส่งมอบ										
227	Paragraph	248		สำนักการเงินและกลยุทธ์องค์กร สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ										
228	Paragraph	249	120	120 หมู่ 3 อาคารรัฐประศาสนภักดี (อาคารบี) ชั้น 7 ศูนย์ราชการเฉลิมพระเกียรติ 80 พรรษา 5 ธันวาคม 2550 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210										
229	Table 1	1		งวดงาน || รายการส่งมอบงาน || กำหนดเวลาส่งมอบ										
230	Table 1	2		งวดเดียว || เมื่อผู้ขายส่งมอบระบบและติดตั้งระบบ พร้อมใช้งาน ครบถ้วนสมบูรณ์ และได้รับความเห็นชอบจากคณะกรรมการตรวจรับพัสดุ ซึ่งผู้ขายจะต้องส่งมอบดังนี้ ๑) ระบบบริหารทรัพยากรองค์กร (Enterprise Resource Planning: ERP) ๒) ติดตั้งระบบบริหารทรัพยากรองค์กร (Enterprise Resource Planning: ERP) ให้แล้วเสร็จ ๓) จัดฝึกอบรมระบบบริหารทรัพยากรองค์กร (Enterprise Resource Planning: ERP) ให้แล้วเสร็จ ๔) รายงานผลการทดสอบการใช้งาน (User Acceptance Test) ๕) รายงานผลการนำเข้าข้อมูลตั้งต้น (Data Migration) ๖) รายงานสรุปผลการฝึกอบรมการใช้งานระบบ ERP (Training) ๗) รายงานผลการขึ้นระบบ ERP (Go live) ๘) รายงานผลการสนับสนุนการใช้งานระบบ ERP ณ สถานที่ทำการของ สกมช. หลังการขึ้นระบบเป็นระยะเวลา 1 เดือน ๙) คู่มือการใช้งาน ประกอบด้วย (๑) คู่มือสำหรับผู้ใช้งานทั่วไป (User Manual) (๒) คู่มือสำหรับผู้ดูแลระบบย่อย (๓) คู่มือสำหรับผู้ดูแลระบบ (System Admin Manual) เพื่อให้สามารถแก้ไขปัญหาเบื้องต้น และการจัดเก็บ/สำรองข้อมูล (Back up Data) /ฟื้นฟูระบบ (Restore/Recovery) || ภายใน ๖๐ วัน นับถัดจากวันลงนามในสัญญา										
